$MeshFile
Vertex	X	YZ
532	-0.438462	0.3769230
533	-0.423077	0.3769230
534	-0.407692	0.3769230
535	-0.392308	0.3769230
536	-0.376923	0.3769230
537	-0.361538	0.3769230
538	-0.346154	0.3769230
539	-0.330769	0.3769230
540	-0.315385	0.3769230
541	-0.3	0.3769230
542	-0.284615	0.3769230
543	-0.269231	0.3769230
544	-0.253846	0.3769230
545	-0.238462	0.3769230
546	-0.223077	0.3769230
547	-0.207692	0.3769230
548	-0.192308	0.3769230
549	-0.176923	0.3769230
550	-0.161538	0.3769230
551	-0.146154	0.3769230
552	-0.130769	0.3769230
553	-0.115385	0.3769230
554	-0.1	0.3769230
555	-0.0846154	0.3769230
556	-0.0692308	0.3769230
557	-0.0538462	0.3769230
558	-0.0384615	0.3769230
559	-0.0230769	0.3769230
560	-0.00769231	0.3769230
561	0.00769231	0.3769230
562	0.0230769	0.3769230
563	0.0384615	0.3769230
564	0.0538462	0.3769230
565	0.0692308	0.3769230
566	0.0846154	0.3769230
567	0.1	0.3769230
568	0.115385	0.3769230
569	0.130769	0.3769230
570	0.146154	0.3769230
571	0.161538	0.3769230
572	0.176923	0.3769230
573	0.192308	0.3769230
574	0.207692	0.3769230
575	0.223077	0.3769230
576	0.238462	0.3769230
577	0.253846	0.3769230
578	0.269231	0.3769230
579	0.284615	0.3769230
580	0.3	0.3769230
581	0.315385	0.3769230
582	0.330769	0.3769230
583	0.346154	0.3769230
584	0.361538	0.3769230
585	0.376923	0.3769230
586	0.392308	0.3769230
587	0.407692	0.3769230
588	0.423077	0.3769230
589	0.438462	0.3769230
590	0.453846	0.3769230
591	0.469231	0.3769230
592	0.484615	0.3769230
593	0.5	0.3769230
594	-0.5	0.3615380
595	-0.484615	0.3615380
596	-0.469231	0.3615380
597	-0.453846	0.3615380
598	-0.438462	0.3615380
599	-0.423077	0.3615380
600	-0.407692	0.3615380
601	-0.392308	0.3615380
602	-0.376923	0.3615380
603	-0.361538	0.3615380
604	-0.346154	0.3615380
605	-0.330769	0.3615380
606	-0.315385	0.3615380
607	-0.3	0.3615380
608	-0.284615	0.3615380
609	-0.269231	0.3615380
610	-0.253846	0.3615380
611	-0.238462	0.3615380
612	-0.223077	0.3615380
613	-0.207692	0.3615380
614	-0.192308	0.3615380
615	-0.176923	0.3615380
616	-0.161538	0.3615380
617	-0.146154	0.3615380
618	-0.130769	0.3615380
619	-0.115385	0.3615380
620	-0.1	0.3615380
621	-0.0846154	0.3615380
622	-0.0692308	0.3615380
623	-0.0538462	0.3615380
624	-0.0384615	0.3615380
625	-0.0230769	0.3615380
626	-0.00769231	0.3615380
627	0.00769231	0.3615380
628	0.0230769	0.3615380
629	0.0384615	0.3615380
630	0.0538462	0.3615380
631	0.0692308	0.3615380
632	0.0846154	0.3615380
633	0.1	0.3615380
634	0.115385	0.3615380
635	0.130769	0.3615380
636	0.146154	0.3615380
637	0.161538	0.3615380
638	0.176923	0.3615380
639	0.192308	0.3615380
640	0.207692	0.3615380
641	0.223077	0.3615380
642	0.238462	0.3615380
643	0.253846	0.3615380
644	0.269231	0.3615380
645	0.284615	0.3615380
646	0.3	0.3615380
647	0.315385	0.3615380
648	0.330769	0.3615380
649	0.346154	0.3615380
650	0.361538	0.3615380
651	0.376923	0.3615380
652	0.392308	0.3615380
653	0.407692	0.3615380
654	0.423077	0.3615380
655	0.438462	0.3615380
656	0.453846	0.3615380
657	0.469231	0.3615380
658	0.484615	0.3615380
659	0.5	0.3615380
660	-0.5	0.3461540
661	-0.484615	0.3461540
662	-0.469231	0.3461540
663	-0.453846	0.3461540
664	-0.438462	0.3461540
665	-0.423077	0.3461540
666	-0.407692	0.3461540
667	-0.392308	0.3461540
668	-0.376923	0.3461540
669	-0.361538	0.3461540
670	-0.346154	0.3461540
671	-0.330769	0.3461540
672	-0.315385	0.3461540
673	-0.3	0.3461540
674	-0.284615	0.3461540
675	-0.269231	0.3461540
676	-0.253846	0.3461540
677	-0.238462	0.3461540
678	-0.223077	0.3461540
679	-0.207692	0.3461540
680	-0.192308	0.3461540
681	-0.176923	0.3461540
682	-0.161538	0.3461540
683	-0.146154	0.3461540
684	-0.130769	0.3461540
685	-0.115385	0.3461540
686	-0.1	0.3461540
687	-0.0846154	0.3461540
688	-0.0692308	0.3461540
689	-0.0538462	0.3461540
690	-0.0384615	0.3461540
691	-0.0230769	0.3461540
692	-0.00769231	0.3461540
693	0.00769231	0.3461540
694	0.0230769	0.3461540
695	0.0384615	0.3461540
696	0.0538462	0.3461540
697	0.0692308	0.3461540
698	0.0846154	0.3461540
699	0.1	0.3461540
700	0.115385	0.3461540
701	0.130769	0.3461540
702	0.146154	0.3461540
703	0.161538	0.3461540
704	0.176923	0.3461540
705	0.192308	0.3461540
706	0.207692	0.3461540
707	0.223077	0.3461540
708	0.238462	0.3461540
709	0.253846	0.3461540
710	0.269231	0.3461540
711	0.284615	0.3461540
712	0.3	0.3461540
713	0.315385	0.3461540
714	0.330769	0.3461540
715	0.346154	0.3461540
716	0.361538	0.3461540
717	0.376923	0.3461540
718	0.392308	0.3461540
719	0.407692	0.3461540
720	0.423077	0.3461540
721	0.438462	0.3461540
722	0.453846	0.3461540
723	0.469231	0.3461540
724	0.484615	0.3461540
725	0.5	0.3461540
726	-0.5	0.3307690
727	-0.484615	0.3307690
728	-0.469231	0.3307690
729	-0.453846	0.3307690
730	-0.438462	0.3307690
731	-0.423077	0.3307690
732	-0.407692	0.3307690
733	-0.392308	0.3307690
734	-0.376923	0.3307690
735	-0.361538	0.3307690
736	-0.346154	0.3307690
737	-0.330769	0.3307690
738	-0.315385	0.3307690
739	-0.3	0.3307690
740	-0.284615	0.3307690
741	-0.269231	0.3307690
742	-0.253846	0.3307690
743	-0.238462	0.3307690
744	-0.223077	0.3307690
745	-0.207692	0.3307690
746	-0.192308	0.3307690
747	-0.176923	0.3307690
748	-0.161538	0.3307690
749	-0.146154	0.3307690
750	-0.130769	0.3307690
751	-0.115385	0.3307690
752	-0.1	0.3307690
753	-0.0846154	0.3307690
754	-0.0692308	0.3307690
755	-0.0538462	0.3307690
756	-0.0384615	0.3307690
757	-0.0230769	0.3307690
758	-0.00769231	0.3307690
759	0.00769231	0.3307690
760	0.0230769	0.3307690
761	0.0384615	0.3307690
762	0.0538462	0.3307690
763	0.0692308	0.3307690
764	0.0846154	0.3307690
765	0.1	0.3307690
766	0.115385	0.3307690
767	0.130769	0.3307690
768	0.146154	0.3307690
769	0.161538	0.3307690
770	0.176923	0.3307690
771	0.192308	0.3307690
772	0.207692	0.3307690
773	0.223077	0.3307690
774	0.238462	0.3307690
775	0.253846	0.3307690
776	0.269231	0.3307690
777	0.284615	0.3307690
778	0.3	0.3307690
779	0.315385	0.3307690
780	0.330769	0.3307690
781	0.346154	0.3307690
782	0.361538	0.3307690
783	0.376923	0.3307690
784	0.392308	0.3307690
785	0.407692	0.3307690
786	0.423077	0.3307690
787	0.438462	0.3307690
788	0.453846	0.3307690
789	0.469231	0.3307690
790	0.484615	0.3307690
791	0.5	0.3307690
792	-0.5	0.3153850
793	-0.484615	0.3153850
794	-0.469231	0.3153850
795	-0.453846	0.3153850
796	-0.438462	0.3153850
797	-0.423077	0.3153850
798	-0.407692	0.3153850
799	-0.392308	0.3153850
800	-0.376923	0.3153850
801	-0.361538	0.3153850
802	-0.346154	0.3153850
803	-0.330769	0.3153850
804	-0.315385	0.3153850
805	-0.3	0.3153850
806	-0.284615	0.3153850
807	-0.269231	0.3153850
808	-0.253846	0.3153850
809	-0.238462	0.3153850
810	-0.223077	0.3153850
811	-0.207692	0.3153850
812	-0.192308	0.3153850
813	-0.176923	0.3153850
814	-0.161538	0.3153850
815	-0.146154	0.3153850
816	-0.130769	0.3153850
817	-0.115385	0.3153850
818	-0.1	0.3153850
819	-0.0846154	0.3153850
820	-0.0692308	0.3153850
821	-0.0538462	0.3153850
