2RD Navier Stokes Equation Using Finite Volume Method
GRID Size:	 65 	 X 65 
Reynolds number of the simulation:100.000000
Iteration no:	95	 Ures: 	4.5267317171e-02	 Vres: 	1.8992938977e+00	 Pres: 	8.3515550396e-01	 
Iteration no:	96	 Ures: 	4.4646837249e-02	 Vres: 	1.8236259960e+00	 Pres: 	8.9285522169e-01	 
Iteration no:	97	 Ures: 	4.3958698637e-02	 Vres: 	1.7540441517e+00	 Pres: 	9.4479752650e-01	 
Iteration no:	98	 Ures: 	4.3218553647e-02	 Vres: 	1.6926888437e+00	 Pres: 	9.8953673196e-01	 
Iteration no:	99	 Ures: 	4.2443541228e-02	 Vres: 	1.6414418586e+00	 Pres: 	1.0260482000e+00	 
Iteration no:	100	 Ures: 	4.1651687323e-02	 Vres: 	1.6017511569e+00	 Pres: 	1.0536343390e+00	 
Iteration no:	101	 Ures: 	4.0861234138e-02	 Vres: 	1.5744659309e+00	 Pres: 	1.0718623262e+00	 
Iteration no:	102	 Ures: 	4.0089910155e-02	 Vres: 	1.5597219655e+00	 Pres: 	1.0805217921e+00	 
Iteration no:	103	 Ures: 	3.9354164948e-02	 Vres: 	1.5569132857e+00	 Pres: 	1.0795948967e+00	 
Iteration no:	104	 Ures: 	3.8668407209e-02	 Vres: 	1.5647640417e+00	 Pres: 	1.0692341363e+00	 
Iteration no:	105	 Ures: 	3.8044298376e-02	 Vres: 	1.5814838345e+00	 Pres: 	1.0497451201e+00	 
Iteration no:	106	 Ures: 	3.7490163842e-02	 Vres: 	1.6049666558e+00	 Pres: 	1.0215727939e+00	 
Iteration no:	107	 Ures: 	3.7010584543e-02	 Vres: 	1.6329891650e+00	 Pres: 	9.8529044552e-01	 
Iteration no:	108	 Ures: 	3.6606220541e-02	 Vres: 	1.6633760883e+00	 Pres: 	9.4159149268e-01	 
Iteration no:	109	 Ures: 	3.6273894999e-02	 Vres: 	1.6941187578e+00	 Pres: 	8.9128469149e-01	 
Iteration no:	110	 Ures: 	3.6006935401e-02	 Vres: 	1.7234477980e+00	 Pres: 	8.3529416260e-01	 
Iteration no:	111	 Ures: 	3.5795736249e-02	 Vres: 	1.7498690022e+00	 Pres: 	7.7466671222e-01	 
